Plate ID,Reports Count,Plate Issuer,Plate Status,Unique vehicles,Tags,Seen at Whipple,Plate Record Notes,Images,Last Seen,Last Location Seen,Plate,Submit Report
01DZEQ (FL),3,FL - Florida,Confirmed ICE,"Gray / grey  Hyundai Santa Fe, Silver Sedan Hyundai , White  Hyundai ","ICE agent(s) seen in vehicle, Seen in a convoy",checked,,"IMG_1464.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/C5tKFGQh_fLM2PeppzGySA/W_uK7KtnoJ959Fstp2WtvITALFPuAG4NvSxyiNuIDguZdYPendWwBPG3lFzVi_QfB8TSNp-m50sPnAmLfuGcTThdMnqmnbwHZzO9PYqVO6Cu_ENk1BxGPF2zjsYQ72d_yPXA12b57qjcz9MhgoH3NjTDExdlO7BM2GeJhFCGcRA/VgfErAJm3YfDqLdD99QTd9eMTl2p5cLJYIJTPjLQ2Bs),IMG_5127.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/V7FuXMzbh8yxOX_ufdOoNA/eiH52-xekQ2SF47uVhWo79BxT25RLCEByzu4oHmmfgZJ8DsYjngI3YK4zqnrMilEOaHTDSA13L_Na3DGg8OaQPsdusyk2rvGKlxQoizBJS4fFGQgT_EznGwxTMtWIqy9vzEIR2cb31tEWxQLlW-e1KeV5cAnaEdQTXU009ih_hM/fl8QLRx68yVkxAYzjL87Iksw4SZWPieGg8yKx0TtNcs)",1/10/2026 8:05pm,"Home2 Suites, 9490 W Broadway Ave, Brooklyn Park, MN 55445",01DZEQ,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=01DZEQ&prefill_Plate+Issuer=FL%20-%20Florida
025QHM (CO),2,CO - Colorado,Confirmed ICE,Tan SUV Ford Explorer,"Seen with known ICE vehicle, Present at raid or abduction, ICE agent(s) seen in vehicle",,,,12/31/2025 10:25am,East Lake St,025QHM,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=025QHM&prefill_Plate+Issuer=CO%20-%20Colorado
025QHU (CO),3,CO - Colorado,Confirmed ICE,"Silver SUV Ford Explorer, Silver SUV Ford , Gold SUV Ford ","ICE agent(s) seen in vehicle, Tinted/blacked-out windows",checked,,"025_HU.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/6yF4-AthcQkjwfyuc_X-Gw/pz7HuTlqJZZ4oqO3d8xZsdXt2rNOmofSMdRWho8TCsTQMMTt5F7jrr8IIopN6jp8Z2wgtPvM0kQdeSR94o4bnsw_hTX0zf_5LuhIa6yj3A8PruiZlLtkDZ15vpk4Y7D44M7li71HJIUry34pcQkyaGHxb0Qa7me1K36SKxEuJ7c/1YI_a1p5A-Rzz0Hnq1uIPWnu0hFbYdLE2HRGdQgM2rw),025QHU.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/uSrsNQ2n_z71USvWLjD-Tg/eh3phdYpW5zJxwFTgS75BXe881WyyNslm4wHACtCLCo0YBhhOd1me1ynYxrVJvnIkvSG_U07jfJC3SfkAB2P3mGrnYyD1FCdb4-9Py6460yTYqDFDtZHeObKQ182GNKBXSBnzhb6IFWluF9fXqYiYxQuVKkDxFJHxbv8lL8HuPQ/pmaimZvR-dZpJb-h_IrbZar6HJNj0hloBpESkzPuue0)",1/19/2026 8:25am,"7770 Dell Rd, Chanhassen, MN 55317",025QHU,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=025QHU&prefill_Plate+Issuer=CO%20-%20Colorado
031126 (DP),2,DP - Dealer Plate,Confirmed ICE,"Black SUV Chevrolet (Chevy) Other (describe in notes), Black SUV Chevrolet (Chevy) Suburban",ICE agent(s) seen in vehicle,checked,,,1/19/2026 12:19pm,SE Mpls: 5th St SE,031126,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=031126&prefill_Plate+Issuer=DP%20-%20Dealer%20Plate
042TNC (CO),1,CO - Colorado,Highly suspected ICE,White   ,,checked,,,1/18/2026 7:22am,Whipple,042TNC,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=042TNC&prefill_Plate+Issuer=CO%20-%20Colorado
042YMC (CO),16,CO - Colorado,Confirmed ICE,"White  Jeep , White SUV Jeep 4x4, White SUV Jeep Renegade, Gray / grey SUV Jeep Cherokee, White  Jeep Cherokee,   Jeep 4x4, White SUV Jeep ,    , White SUV Jeep Cherokee","ICE agent(s) seen in vehicle, ICE agent(s) seen in vehicle, Tinted/blacked-out windows",checked,,"042YMC.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/gA8Rbs5R77gVDdaHCtn3-A/pyrhUpOZDjQDWPa16uglsiFgVAizrLTnRBFvnpKDkIlEDRJJPeYdjD-7I5te-56sgFI7Jg6oIpGJKvqzg-VH73vzAYY9wjvwOZrEF-bVgSkh080DjpxjRcM8K8vQEgdHqWiPC7LEmvefQQotrAOE_-aYkesJCigwV-SI_Ako--Y/Zcoew5Hr4gzeSDe7Zvym73d_pJcyINcsJZrzC7m5OUk),01dd3e4d467dcd506218d07e51bd0ca3c4982d70cea017401a0236f4fb8309f2.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/soniT2t8yDTofioyaiMnCw/z0zW4fi_hKdGMVtxjJasGt_QIEFiQcwqOmETRbCWXxBzvqQDBaYqsvDLEhuomA3_kg_Yyg1lT4ocooZphZbLhvrmEse5UJVr0y7fqxWnwCw05FhYt0lxDWNHgC85pBRlglkHtzhLYjevjrE6V-SbLvfF0zVgGI3_SeFRO4xTOFXGJWXFQFmglo0JuVw4JuQsjRWbpr0BKEEB-U0276VtSyQX1lqdiA84QPHc02fM3XI/y1ipJjTZZtdWoAZJBPGhRSPorf0PBrrTSfWDgq-7ou8),IMG_6630.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/Nck8LJQT4TN5a93wyfOXbA/Zu-mPc_RaEqVVhnomZ6f9nrbUcvOZgsdJzdXjWlAt4VgDabOLj-UG1yjxQaLA_Qv_mBcu6nEs1HN6IJ0Akl-WgONV3k881yX53Z_KCqZBlmLnlQYdZJU-IZT-GOFCuJLECIioUkHPHYKAbM7kMWXY6KdKRImEkFG_0sI4p79ers/cLXGX44B5QyRc7K0zsEnbQACAFY10PZOH4Ekcp5ix50),signal-2026-01-18-082409_007.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/IE93TvKLyW45sbxEuPCqkw/3uXzjnkgjp1iVjAigiCF8yzpduddOh-J163X0x6IPLKTuQLLzyp009mOho3azUQkvOPmamxfNVr5f6Pu4Ov-TAabbcnzCV5X8pYhBpw17g1b9JzRkV5ynyj7tA7WIkktgy-cSdk82LSBoGKOCa72nU7aofCS-gRIagvyBJT7pXS6yxAVNMBqdvjdh38pPIU7/w9mTBBFI1EjLR7m4LA0hu2mD5Iy2W5PyarcAGSKcZoE)",1/18/2026 8:24am,Whipple,042YMC,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=042YMC&prefill_Plate+Issuer=CO%20-%20Colorado
04318269 (MN),1,MN - Minnesota,Highly suspected ICE,Blue Truck Ford F-150,Present at raid or abduction,,,,1/15/2026 4:50pm,552 Nevada Ave E,04318269,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04318269&prefill_Plate+Issuer=MN%20-%20Minnesota
04398529 (MN),2,MN - Minnesota,Confirmed ICE,"Black SUV Ford Tahoe, Black SUV Chevrolet (Chevy) Tahoe","Tinted/blacked-out windows, Tactical gear inside vehicle, ICE agent(s) seen in vehicle",,,"611917420_10163877288060482_6548030648887490132_n.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/_Yf7y4y6Ir_UQphPgO9j5w/E2RscJoa5Ugq1A_DAWXn519PuzzI4S8DgOvc5GZOkx7ruCg5K-QGQL5__I2Bxn4tJPlg4uLVDKf3eszcgj8l7I9xi6S508IhrD6TinGU4VuU2Ar2q36yornw1gbxFoOp4bwoEwid282MxTD1BpCoyIxXKAO2ZpjnPCejAGxNQZR9v_98eCKUcf6afODdtVBz8PCvQ5pdUky5g9RhJh7F5w/6eDs6tgL29kY3Dvf44j2rg0rYRiW57XogF9H6y3-cZQ),04398529.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/SPDIud1x6hB5oGC27Zq-XQ/ESzYewWzAS3voN2sfdr1H4-3iS3FGW5aDq33qqMV5Y0f-yld1teqDmFgsR-Xs24mJyj81HACWefzd3PF-JVp2PscrQfzBti6JCPytiNYVVyu6IEnOMaM__LMnWsd5viToQclA-JLlatnaz7EDoEiVxbEFFkYcpAhJIO96qu1oyQ/ovcoEZUpm-SKZq4tIA0Ka00YfNoe_lDBVfWOBMvHNcs)",1/9/2026 3:02pm,,04398529,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04398529&prefill_Plate+Issuer=MN%20-%20Minnesota
043MUB (MN),6,MN - Minnesota,Highly suspected ICE,"Black Truck Nissan Titan,   Nissan , Black Truck Nissan , Black Truck Ford , Dark  Nissan ",Tinted/blacked-out windows,checked,,"IMG_4120.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/8ZmZ34ftSmWePLk7_55Daw/GWr9FW8_qOC0zXlqfvRqiHGweOzZ5Dw5cxkHCIBdNA7bc2OxNq6OiREmPGY1HkIpN8dEKAanlAOIi9S2QLFIEo0No3_Yd1zkr1-J48LK8Y-Nd7RxinBG_3UDtHUznhvVWT0QKkjwT7TF5q1jcoJjx4jTiSPrx8qKBl_SOm_smvg/bfjKEZ16rsmGuEgAyxms1TQ0ExKD1Y-iMJN7jXjpB0o),043MUB-black-SUV-11.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/gnunouCYVTcyX3p0dD1Hzw/u5Hl-FRKW_ZMod1tIoUxnovLdEQuvTxRdNs9Kw7fIJ5Xc6wbgNOmBW2wYOOWrxUJjI1Zm6AudXmvCMaykwCumreOkaJR53CzzEvKleoC8lvuGhiCYd9Ep6lWXocGYV07Q0Mgn9XwtElJk8EHAOzK32IqqQzsD-zbsUtziYHVoww/BAJKXSue-y-E-J4AhDe5aMNsn5ZdPzcpJwKaZOcR0B4),IMG_5918.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/pOJ_trZPv3Hh7prNsn1y0g/Saet8Q3VGf1XyHfcYSPwU2QMeF4T-xhvaDjspBxa_mshjhpEnMKkKeDkX74yUJ5NwgVZYwMxuX2WNcntbFWe8GSHitQlpiG-zck0WOoVq2ffXLJIX80iwi9aoh2bnbrNiC1PfoUcJNYxocCcv-wqV_phC6on7a0rIDzPWAMI6wk/Al4aGVCnOObGJWXNM9FiHeFqTC9xGYBtK9SFCSjOI2Q)",1/12/2026 10:45am,Whipple,043MUB,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=043MUB&prefill_Plate+Issuer=MN%20-%20Minnesota
04410769 (IL),3,IL - Illinois,Confirmed ICE,"Silver  Ford , Black  Jeep , White Sedan Cadillac ","Present at raid or abduction, ""Intimidation (observing, filming, etc.)""",,,,1/19/2026 11:15am,NE Minneapolis: N on Central from 18 1/2th Ave NE,04410769,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04410769&prefill_Plate+Issuer=IL%20-%20Illinois
04447368,1,,Highly suspected ICE,Black  GMC ,"Obscured/tinted license plate(s), Tinted/blacked-out windows, Tactical gear inside vehicle",,,,1/13/2026 3:30pm,Oakdale toward downton St Paul,04447368,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04447368
04473620 (MN),2,MN - Minnesota,Highly suspected ICE,"   , Black SUV GMC Yukon","Seen with known ICE vehicle, Seen in a convoy, Modified/fake license plate(s)",,,,1/18/2026 9:42pm,Fisk and selby,04473620,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04473620&prefill_Plate+Issuer=MN%20-%20Minnesota
04475325,1,,Confirmed ICE,Light gray / grey Truck GMC Sierra,"Tactical gear inside vehicle, ICE agent(s) seen in vehicle",,,IMG_8628.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/lML_5_AVpnQbSolr_tHOvQ/qgOvyv6o8155dhSV-sX5O49qQYooNVL1DfgfL_Vk-l0wkv7IzAFQMsg4lJrtQsfJ4hbLbA0yteTPL62KqM3lij5PiHFDkv89B-p7-F5Zt8rjBnc9t3yoMf8wbATf2RKthOLdZufZl-ytW1wK27LGZD74ULdmU4Upc7yoZmMxSNk/0-Mi_PmgcJkoXCypxl65a9KCSC11afY8p-q9z2YsONk),1/12/2026 9:00am,34th Ave S getting onto 62 east,04475325,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04475325
04491167 (MN),3,MN - Minnesota,Highly suspected ICE,"White Minivan Dodge Caravan, White Minivan  , White  Dodge ","""Intimidation (observing, filming, etc.)"", Modified/fake license plate(s), Tinted/blacked-out windows, Missing license plate(s), Modified/fake license plate(s)",,,,1/13/2026 6:23pm,3600 block of 42nd Ave Minneapolis ,04491167,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04491167&prefill_Plate+Issuer=MN%20-%20Minnesota
044KFI (MN),0,MN - Minnesota,Highly suspected ICE,Black SUV Subaru ,,checked,,044KFI-black-SUV-11.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/Fm1S52zL99qy2ubFLyysrQ/2TM6-yH0OZ2r_Cr3iqwIW6Wzhi_czjWK6Q_wNpGjnm5NO3p8PXcWlMiy8GY7IPtqOvh5rN1yR_CQPsydHCDfCBbmvpOhjEhDo7cLD-muM5jfu_dUh1kLpVeQOSF7xCctppzHKYhv7ZesxQN6qv_709QZZc0hlItXjriOY1hFZUo/EA0ADpLeMcq7Kya_e9Jf_kPxK7svZZaPpoC6sY4gm8M),1/6/2026 8:48am,Whipple,044KFI,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=044KFI&prefill_Plate+Issuer=MN%20-%20Minnesota
044KFT (MN),13,MN - Minnesota,Confirmed ICE,"Silver SUV Subaru Ascent, Black SUV Subaru , Black  Subaru , Black  Subaru Outback, Black SUV Subaru Outback, Black  Subaru Forester, Black SUV Subaru Forester, Black Crossover Subaru Forester, Black Sedan Subaru Ascent,    , Black SUV Subaru Ascent,   Subaru ","ICE agent(s) seen in vehicle, Seen with known ICE vehicle, Present at other ICE action, Seen in a convoy, Seen with known ICE vehicle",checked,,"044KFT-gray-SUV-11-icelot_12-27.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/WiE2RoldWz8DPrzXTiClqg/DnagVCWWaccGy904MJ6gR4RFoj7r6NvqN6Rbt5pLBEs43nq20PVsjaI9j4lws60TTFxqoed0aA9N_ops1UnWdWaBLaQWpkeWV1pUtpTBGr5k2-1pKHCoRojs-j9_nMa70hT2OqMbyy8ae8Ebu-XclqMHXN-JM--TfOKMZOhvc5RT7plHPEt3UHMBtiAnIvl5/8iGciijPcxffeMScSu2q9pHVo_O0geTsr8iE5UWiYg4),DSC_0010.JPG (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/dgfQRXkqsZyFV7WPGujVkg/asTqflcD4GQeLFQ3qHZ1y6q-yrluPyjDBzuQuJ2kBecgr0wFFPk6FQE20Gzkon0Znx_3H1PT2MYMZTQISn1ErlaOhzW4RHBSR0V-RqOdbb-3Ff8m_CDSvkSDumtNBOITBUxe-ZHDBnehAn0CdghnkWuQk4IeHJd5uBviz1xrzSA/xdJim9xgkDXxFD43OBA0j3k6oDqZkpk8e96RUJsFnNk)",1/10/2026 2:00pm,returning to whipple,044KFT,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=044KFT&prefill_Plate+Issuer=MN%20-%20Minnesota
04AKFT (MN),1,MN - Minnesota,Highly suspected ICE,Black SUV Subaru ,,checked,,044KFI-black-SUV-11.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/Fm1S52zL99qy2ubFLyysrQ/2TM6-yH0OZ2r_Cr3iqwIW6Wzhi_czjWK6Q_wNpGjnm5NO3p8PXcWlMiy8GY7IPtqOvh5rN1yR_CQPsydHCDfCBbmvpOhjEhDo7cLD-muM5jfu_dUh1kLpVeQOSF7xCctppzHKYhv7ZesxQN6qv_709QZZc0hlItXjriOY1hFZUo/EA0ADpLeMcq7Kya_e9Jf_kPxK7svZZaPpoC6sY4gm8M),1/6/2026 8:48am,Whipple,04AKFT,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04AKFT&prefill_Plate+Issuer=MN%20-%20Minnesota
04AU20,1,,Highly suspected ICE,   ,"Seen with known ICE vehicle, Present at other ICE action",checked,,,1/8/2026 8:00am,"The Whipple, gate 3",04AU20,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=04AU20
